objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,venue,price,location,latitude,longitude,source,type,format,language,rights,rightsstatement
tix001,tix001.jpg,,,Brian Wilson Presents Pet Sounds 2017-04-23,Brian Wilson,2017-04-23,"Ticket to attend the performance of Brian Wilson Presents Pets Sounds at the Murat Theatre in Indianapolis, Indiana on April 23, 2017.",rock concerts,Murat Theatre,,"Indianapolis, Indiana",39.774513850618200,-86.15098408,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/jpeg,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix002,tix002.jpg,,,Phoebe Bridgers 2018-04-18,Phoebe Bridgers,2018-04-18,"Ticket to attend the performance of Phoebe Bridgers at the Bishop in Bloomington, Indiana on April 18, 2018.",rock concerts,The Bishop,,"Bloomington, Indiana",39.16596132,-86.53333273,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/jpeg,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix003,tix003.png,,,Cleveland Orchestra 1989-08-20,Cleveland Orchestra,1989-08-20,"Ticket to attend the performance of the Cleveland Orchestra at Blossom Music Center in Cuyahoga Falls, Ohio on August 20, 1989.",Music--Performance,Blossom Music Center,$5.00 (USD),"Cuyahoga Falls, Ohio",41.19149019840620,-81.56060446,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix004,tix004.png,,,Blur 2009-07-02,Blur,2009-07-02,"Ticket to attend the performance of Blur at Hyde Park in London on July 2, 2009.",rock concerts,Hyde Park,£45.00 (GBP),"London, United Kingdom",51.50809565886420,-0.1640755822,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix005,tix005.png,,,Rolling Stones 1981-12-11,Rolling Stones,1981-12-11,"Ticket to attend the performance of the Rolling Stones at Rupp Arena in Lexington, Kentucky on December 11, 1981.",rock concerts,Rupp Arena,$16.00 (USD),"Lexington, Kentucky",38.04957088551100,-84.5025226,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix006,tix006.png,,,Who 1982-11-29,Who,1982-11-29,"Ticket to attend the performance of The Who at Rupp Arena in Lexington, Kentucky on November 29, 1982.",rock concerts,Rupp Arena,$15.25 (USD),"Lexington, Kentucky",38.04957088551100,-84.5025226,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix007,tix007.png,,,Wilco 1995-06-06,Wilco,1995-06-06,"Ticket to attend the performance of Wilco at the Newport Music Hall in Columbus, Ohio on June 6, 1995.",rock concerts,Newport Music Hall,$8.50 (USD),"Columbus, Ohio",39.99763587267530,-83.00734765826440,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix008,tix008.png,,,Queen 1982-08-02,Queen,1982-08-02,"Ticket to attend the performance of Queen at Riverfront Coliseum in Cincinnati, Ohio on August 2, 1982.",rock concerts,Riverfront Coliseum,$11.50 (USD),"Cincinnati, Ohio",39.09817794176740,-84.50447870009560,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix009,tix009.png,,,Grateful Dead 1989-07-04,Grateful Dead,1989-07-04,"Ticket to attend the performance of the Grateful Dead at Rich Stadium in Orchard Park, New York on July 4, 1989.",rock concerts,Rich Stadium,$21.00 (USD),"Orchard Park, New York",42.77395146399140,-78.78694011530040,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix010,tix010.png,,,Police 1982-04-06,Police,1982-04-06,"Ticket to attend the performance of the Police at Riverfront Coliseum in Cincinnati, Ohio on April 6, 1982.",rock concerts,Riverfront Coliseum,$11.00 (USD),"Cincinnati, Ohio",39.09817794176740,-84.50447870009560,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix011,tix011.png,,,"Crosby, Stills & Nash 1982-11-03","Crosby, Stills & Nash",1982-11-03,"Ticket to attend the performance of Crosby, Stills & Nash at the University of Dayton Arena in Dayton, Ohio on November 3, 1982.",rock concerts,University of Dayton Arena,$12.50 (USD),"Dayton, Ohio",39.73575238932160,-84.19969254420810,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix012,tix012.png,,,Smashing Pumpkins 1997-01-18,Smashing Pumpkins,1997-01-18,"Ticket to attend the performance of the Smashing Pumpkins at Assembly Hall at Indiana University in Bloomington, Indiana on January 18, 1997.",rock concerts,"Assembly Hall, Indiana University",$25.00 (USD),"Bloomington, Indiana",39.1810603901127,-86.5221210570992,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix013,tix013.png,,,Dead & Company 2018-06-04,Dead & Company,2018-06-04,"Ticket to attend the performance of the Dead & Company at Riverbend Music Center in Cincinnati, Ohio on June 4, 2018.",rock concerts,Riverbend Music Center,$72.00 (USD),"Cincinnati, Ohio",39.0521219934558,-84.4189292194271,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix014,tix014.png,,,Beatlemania 1978-11-30,Beatlemania,1978-11-30,"Ticket to attend the performance of Beatlemania at the Cincinnati Music Hall in Cincinnati, Ohio on November 30, 1978.",rock concerts; musicals,Cincinnati Music Hall,,"Cincinnati, Ohio",39.1095076292693,-84.5188917944842,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
tix015,tix015.png,,,Jeff Mangum 2013-01-15,Jeff Mangum,2013-01-15,"Ticket to attend the performance of Jeff Mangum at the Buskirk-Chumley Theater in Bloomington, Indiana on January 15, 2013.",rock concerts,Buskirk-Chumley Theater,$33.50 (USD),"Bloomington, Indiana",39.1664524623942,-86.532822201893,"Private collection, John A. Walsh, Bloomington, Indiana",Image;StillImage,image/png,eng,My Concerts © 2022 by John A. Walsh is licensed under CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
